label,cluster,freq_class
meme token,-1,head
unknown,4,head
AI-сервис (заявлено),4,mid
token on Solana,-1,mid
token use case not established,4,mid
AI agent creation + launch,-1,mid
ERC-20 token on Ethereum,-1,mid
decentralized compute marketplace,-1,tail
datasets for AI model training,-1,tail
decentralized data storage,-1,tail
on-chain data API for apps,-1,tail
deploy + run AI agents,-1,tail
meme community token,-1,tail
AI agents (access to on-chain data),-1,tail
AI agent creation + use,-1,tail
token ecosystem,-1,tail
AI agent creation + deployment,-1,tail
token on BNB Smart Chain,-1,tail
token on Ethereum,-1,tail
ERC-20 memecoin token,-1,tail
SPL token on Solana,-1,tail
attestations + token-curated knowledge graph,4,tail
personal AI / agent twins,-1,tail
agent wallet for on-chain actions,-1,tail
access to compute + AI tools,-1,tail
L1 for dApps with native services,-1,tail
L1 for dApps + AI agents/AI apps,-1,tail
AI insights/signals for trading + research,-1,tail
blockchain data indexing + queries,-1,tail
AI agent app store + marketplace,2,tail
AI inference/compute access via API,-1,tail
DeFi copilot (NL execution + info mining),-1,tail
fortune readings + token/contract «energy»,-1,tail
build/share/monetize AI agents,-1,tail
crypto news insights super app,-1,tail
trade options + perps on TON,4,tail
content generation + distribution,-1,tail
tokenized compute/storage marketplace,-1,tail
"anti-scam reports, threat intel, bounty investigations",4,tail
L1 + edge compute/video delivery,4,tail
"build, deploy + monetize agents",-1,tail
"L1 network, staking, governance, compute",-1,tail
AI art → NFT minting + marketplace,2,tail
DeFi strategies/airdrop tips for wallets,-1,tail
on-chain investigations (clusters/funds/insights),-1,tail
natural language → apps/contracts,4,tail
auto-allocation yield for USDC/cbBTC,4,tail
runtime security (transaction monitoring/screening),-1,tail
decentralized GPU marketplace (inference),-1,tail
private ads + rewards + donations,-1,tail
on-chain/off-chain attestations + reputation,-1,tail
L1 + EVM for an AI ecosystem,-1,tail
3D assets for games/VR/simulations,-1,tail
Learn + Earn onboarding in Web3,4,tail
geospatial intelligence for maps/Physical AI,-1,tail
no-code game creation from prompts,-1,tail
indexer/structuring open information,-1,tail
training medical models with privacy preservation,-1,tail
community insurance for crypto portfolios,-1,tail
mining optimization + rewards pool,-1,tail
DAO constructor + on-chain governance,-1,tail
Web3 task automation via AI agents,-1,tail
rewards for data + purchasing data insights,-1,tail
AI NPCs + content generation for GameFi,1,tail
"on-chain identity, anti-Sybil + reputation scoring",-1,tail
run AI/ML workloads on a decentralized cloud,-1,tail
quick smart contract audit,3,tail
trustless AI-API results for smart contracts,3,tail
trade + analytics for Bittensor subnets,-1,tail
ownable datasets + revenue sharing,-1,tail
create + trade agent tokens,-1,tail
decentralized AI data economy,-1,tail
personalization for dApps/agents,-1,tail
create + monetize AI agents,-1,tail
"yield for stakers from ""AI productivity""",4,tail
GPU rental for model training/inference,-1,tail
programmable incentives for communities,-1,tail
token staking for revenue sharing/rewards,-1,tail
"video ad anti-fraud; ""verifiable views""",-1,tail
verifiable knowledge assets for AI,-1,tail
privacy apps + anonymous search/browser,-1,tail
on-chain games/tournaments/NFT activities on Base,-1,tail
game-based training of AI characters + agent ecosystem,-1,tail
"application-specific sequencing, MEV policies",4,tail
seedless MPC/TSS multichain vault,4,tail
data collection/labeling for AI training,-1,tail
AI crypto market research dashboard,-1,tail
receipts/provenance (capture → certify → check),4,tail
financialization of AI infrastructure (RWAiFi),-1,tail
on-chain economy for AI agents + their communities,-1,tail
payments + coordination of AI agents,-1,tail
collection + sale of privacy-preserving edge data,-1,tail
AI bots for users + businesses,-1,tail
P2P publish/subscribe for realtime data,4,tail
building + optimizing teams of AI agents,-1,tail
derivatives/trading,-1,tail
use/customization of AI tools,-1,tail
tokenization + token issuance,-1,tail
monitoring + optimization of agricultural processes,-1,tail
GPU compute rental/sales,-1,tail
game/NFT economy,-1,tail
help + automation of DeFi actions,-1,tail
AI tools for crypto/content,-1,tail
compute marketplace + orchestration,-1,tail
decentralized AI inference/agents,-1,tail
AI tools as a service,-1,tail
creative AI + DePIN compute,-1,tail
AI bots + agent economy,-1,tail
ecosystem utility token (staking/access/programs),-1,tail
"threshold signing, encryption/decryption, access control, automations",-1,tail
video processing (transcoding),4,tail
tokenized game economy,-1,tail
data annotation marketplace,2,tail
"on-demand oracle data feeds, VRF, custom tasks",4,tail
inference marketplace,-1,tail
messenger + crypto wallet,-1,tail
network incentives (verification/routing/execution),-1,tail
smart contract vulnerability scanning,3,tail
generative art,-1,tail
move-to-earn fitness app,4,tail
DeFi ecosystem,-1,tail
confidential transactions/communications,-1,tail
DAO analytics + launcher,-1,tail
agentic market analytics,-1,tail
GPU compute marketplace (training/inference),-1,tail
legal tech + decentralized dispute resolution,-1,tail
GPU rental marketplace (Docker workloads),-1,tail
PoW L1 + smart contracts (Pact),3,tail
token / community asset,-1,tail
AI assistant for crypto trading + portfolios,-1,tail
NFT analytics/forensics + on-chain activity,-1,tail
on-chain indexes + crypto research terminal,-1,tail
meme token about AI culture,4,tail
"Smart NFTs, gaming dApps, storage, swaps",-1,tail
navigation + drive-to-earn + vehicle NFTs,4,tail
no-code Web3 automation + execution chain,-1,tail
AI smart contracts + AI dApps,-1,tail
decentralized storage + delivery of data/content,-1,tail
agentic system demos + prototypes,-1,tail
crypto/DeFi research + image generation + agent orchestration,-1,tail
meme community mascot + AI content + alpha sharing,-1,tail
metaverse land + NFT marketplace,-1,tail
tokenized access to AI inference,-1,tail
AI analytics for Web3 investing,-1,tail
licensing + monetization of digital content,-1,tail
personal AI avatars + interactions,-1,tail
collection + sale of audio datasets for AI,-1,tail
data collection/indexing + data delivery for AI,-1,tail
paid robot actions + packages/data marketplace,2,tail
orchestration + coordination of decentralized compute,-1,tail
private compute over encrypted data,-1,tail
knowledge retention during offboarding,4,tail
data monetization + analytics/compute,-1,tail
compute/GPU rental for containers,-1,tail
copy + grid trading + whale tracking,-1,tail
GPU rental for AI/ML,-1,tail
autonomous transport + robotics,-1,tail
assetization + optimization layers,-1,tail
games + media + on-chain assets,-1,tail
DeFi automation + analytics,-1,tail
research error/quality checking,-1,tail
deployment + orchestration of agent workflows,-1,tail
AI agents for analytics/trading + ownership models,-1,tail
AI market intel + tokenized attention,-1,tail
Web3 infrastructure for IoT/robots,-1,tail
create/deploy/orchestrate on-chain agents,-1,tail
non-custodial portfolio management,-1,tail
private search + node network,-1,tail
incentives for data/activity,-1,tail
"masternodes, smart contracts, AI services",-1,tail
"OSINT, background checks, due diligence",4,tail
AI integrations for businesses/developers,-1,tail
"compute for AI, GPU marketplace",-1,tail
storage/streaming + AI compute infra,-1,tail
private AI inference with incentives,-1,tail
launch + tokenize AI agents,-1,tail
AI assistant for crypto trading,-1,tail
data tokenization + DeFi mechanics,-1,tail
"DeFi operations via ""agents""",-1,tail
"data collection for robotics, model training",-1,tail
Web3 talent + job matching,4,tail
"AiFi/DeFAI infrastructure, KEY→SFI migration",-1,tail
trustless audit layer for AI agents,-1,tail
L2 for agentic DeFi (AiFi),-1,tail
memecoin,-1,tail
create/promo/monetize music,-1,tail
create + play AI games + wager modes,-1,tail
DePIN connectivity + bandwidth/compute/storage,-1,tail
DAO governance + creator economy,-1,tail
in-car assistant + IoT control,-1,tail
crypto analytics + data API,-1,tail
decentralized AI inference,-1,tail
DePIN compute aggregator + forwards,-1,tail
token/contract risk analysis,-1,tail
compute for AI workloads,-1,tail
memecoin + DEX + AI content → NFT,-1,tail
community token about AI,-1,tail
agentic future,4,tail
mobile + desktop compute → rewards + marketplace,-1,tail
private AI workflows + assistant,-1,tail
agents/bots/dev tools for Web3,-1,tail
AI assistant for token community,-1,tail
memberships + tipping + marketplace,2,tail
omnichain meme token via Axelar ITS,-1,tail
on-device personal assistant,-1,tail
confidential EVM + parallel runtimes,4,tail
GPU rental + staking rewards,-1,tail
housing search + RWA products,-1,tail
mobile trading app + strategies,-1,tail
AI game + tokenized economy,-1,tail
content generation + assistant,-1,tail
direct booking + rewards token,-1,tail
bonds + tier staking rewards,-1,tail
IDO participation via tiers,4,tail
social + payments app with token,-1,tail
cross-chain interoperability + intents,-1,tail
smart contracts with verifiable AI inference,-1,tail
AI inference/compute + data production,-1,tail
P2P DEX for cross-chain trades,-1,tail
distributed compute from consumer hardware,-1,tail
multichain token + DAO voting/staking,-1,tail
chat interface for DeFi,-1,tail
discovery агентов и комьюнити вокруг токена,4,tail
smart contracts + decentralized computation,-1,tail
task + bounty marketplace,2,tail
hashpower marketplace + validator staking,2,tail
data quality + specialized LLMs,4,tail
fast creation + monetization of UGC games,-1,tail
builder for utility/tokenized agents,-1,tail
community agent for GMX/DeFi,-1,tail
timestamping + file integrity verification,-1,tail
discovery/quests/content for Web3 games,-1,tail
game with on-chain NFTs + token economy,-1,tail
persistent memory + agent interoperability,-1,tail
develop + launch autonomous agents,-1,tail
"metaverse, UGC, NFT assets",-1,tail
omnichain restaking + DVS shared security,-1,tail
"metaverse, UGC/builder, dApps + digital assets",-1,tail
DeFi operations via integrations + aggregation,-1,tail
data economy (marketplace + app ecosystem),-1,tail
pre-market assets + exchange/liquidity,-1,tail
DeFi super app (swap + bridge + lend),4,tail
Sybil-resistant identity,-1,tail
on-chain action automation,-1,tail
Layer-1 for wealth management protocols,-1,tail
L1 network + bridge/staking,-1,tail
market analysis → backtesting → (plan) auto-execution,-1,tail
tournaments + mini-games with digital assets,-1,tail
automated strategies + analytics,-1,tail
high-performance execution layer,-1,tail
sports/fitness (challenges + progress),4,tail
moderation/content/utilities via AI,-1,tail
market analytics + forecasting signals,-1,tail
GPU compute + AI tools,-1,tail
meme content + image generator,1,tail
consumer AI companion app,4,tail
Web3 search + Q&A,-1,tail
DeFi derivatives,-1,tail
event-driven smart contracts,3,tail
self-custody vaults + tools,-1,tail
launch + use AI services,-1,tail
cross-chain lending via user pools,4,tail
chat + content agent,-1,tail
payments + tokenback on GoCrypto network,-1,tail
build + deploy AI agents,-1,tail
train-to-earn data labeling,-1,tail
HundAI tools + services ecosystem,-1,tail
no-code business process automation,-1,tail
crypto analytics terminal + screeners,-1,tail
SLM/agent creation + tokenization,-1,tail
Sidus Heroes governance token,-1,tail
AI-generated NFTs + on-chain data encoding,-1,tail
crowdsourcing + AI data marketplace,2,tail
Face-NFT creation + trading,-1,tail
game-based learning + NFT/token economy,-1,tail
DePIN L1 + verifiable computing modules,-1,tail
metaverse + AI bots,-1,tail
trading algorithm automation,-1,tail
contextual relationship analysis in biodata,4,tail
AR metaverse + digital land,-1,tail
swap + bridge aggregation,4,tail
AI characters for social/community,-1,tail
sports analytics + forecasting,-1,tail
incentivize generalizable ML predictions,-1,tail
personal AI assistants + skills,-1,tail
trading/holding a token on Solana,-1,tail
crypto task automation,-1,tail
influencer marketing automation,-1,tail
AML/KYC compliance for DeFi,-1,tail
tokenized funds + on-chain RWA,-1,tail
private AI agent launch,-1,tail
copilot for Solana operations,-1,tail
DePIN messaging/oracle infra,4,tail
