field,op,similarity,label_a,label_b,freq_a,freq_b
use_case,B,0.845396,AI assistant for crypto trading + portfolios,AI assistant for crypto trading,1,1
use_case,B,0.803815,decentralized AI inference/agents,decentralized AI inference,1,1
use_case,B,0.795803,meme community token,meme community token (Solana),2,1
use_case,B,0.768367,AI content creation + monetization,AI content creation,1,1
use_case,B,0.759585,access to compute + AI tools,access to compute,1,1
use_case,B,0.756605,token on Solana,SPL token on Solana,7,2
use_case,B,0.75642,memecoin + community products,community/products,1,1
use_case,B,0.749948,AI agent creation + launch,no-code AI agent creation + launch,4,1
use_case,B,0.707282,DeFi strategy automation,DeFi strategy automation + copy trading,1,1
use_case,B,0.697322,SPL token on Solana,SPL token,2,1
use_case,B,0.668373,ERC-20 token on Ethereum,token on Ethereum,3,2
use_case,B,0.643181,AI content creation (mobile app),AI content creation,1,1
use_case,B,0.618179,no-code AI agent creation + launch,no-code AI agents,1,1
use_case,B,0.610707,meme token,AI community meme token,17,1
use_case,B,0.60251,build + deploy AI agents,build + deploy + monitor AI agents,1,1
use_case,B,0.601368,memecoin + community products,memecoin / community token,1,1
use_case,B,0.60067,memecoin,memecoin / token,1,1
use_case,B,0.599997,trading automation,market analysis + trading automation,1,1
use_case,B,0.598929,crypto analytics + data API,crypto analytics,1,1
use_case,B,0.593924,L1 for dApps + AI agents/AI apps,L1 for dApps (including AI apps),1,1
use_case,B,0.590235,meme token about AI culture,community token about AI,1,1
use_case,B,0.586645,inference marketplace,AI inference marketplace + decentralized compute,1,1
use_case,B,0.582338,IoT data transactions,IoT data marketplace,1,1
use_case,B,0.579243,AI agent creation + launch,AI agent creation + deployment,4,2
use_case,B,0.576791,AI agent creation + launch,AI agent creation + use,4,2
use_case,B,0.574756,ERC-20 memecoin token,memecoin / token,2,1
use_case,B,0.574342,token on Solana,RWA/AI narrative + token on Solana,7,1
use_case,B,0.574151,access to compute + AI tools,GPU compute + AI tools,1,1
use_case,B,0.573569,"DeFi operations via ""agents""",DeFi operations via integrations + aggregation,1,1
use_case,B,0.571422,token on Solana,trading/holding a token on Solana,7,1
use_case,B,0.562842,chat + content agent,community chat + content,1,1
use_case,B,0.557517,multichain AMM + launchpad + staking,multichain AMM DEX + launchpad,1,1
use_case,B,0.5543,AI bot/tools for communities,bots/tools for communities,1,1
use_case,B,0.553718,AI agent creation + use,AI agent creation + deployment,2,2
use_case,B,0.553038,DeFi automation + agents,trading + DeFi automation,1,1
use_case,B,0.548257,crypto task automation,development task automation,1,1
use_case,B,0.546385,"build, deploy + monetize agents",build + deploy AI agents,1,1
use_case,B,0.544026,crypto analytics terminal + screeners,crypto analytics,1,1
use_case,B,0.5438,Face-NFT creation + trading,AI character/NFT creation + trading,1,1
use_case,B,0.541454,DeFi automation + analytics,DeFi automation + agents,1,1
use_case,B,0.540501,DeFi automation + analytics,trading + DeFi automation,1,1
use_case,B,0.522794,decentralized data storage,data storage infrastructure,2,1
use_case,B,0.516994,AI agents for Web3 interactions,chat/agents for Web3,1,1
use_case,B,0.514258,agentic market analytics,market analytics + automation,1,1
use_case,B,0.512288,decentralized compute marketplace,AI inference marketplace + decentralized compute,2,1
use_case,B,0.512056,decentralized compute marketplace,compute marketplace + orchestration,2,1
use_case,B,0.510963,create + monetize AI agents,create/train/monetize AI agents + iNFTs,1,1
use_case,B,0.50707,token on BNB Smart Chain,tools/services around BNB Smart Chain,2,1
use_case,B,0.506375,decentralized GPU marketplace (inference),decentralized GPU compute,1,1
use_case,B,0.500641,compute/GPU rental for containers,GPU rental for AI/ML,1,1
