field,op,similarity,label_a,label_b,freq_a,freq_b
use_case,C,0.96417,decentralized AI inference/agents,decentralized AI inference,1,1
use_case,C,0.94708,L1 for dApps + AI agents/AI apps,L1 for dApps (including AI apps),1,1
use_case,C,0.932626,trading automation,trading operations automation,1,1
use_case,C,0.930846,AI assistant for crypto trading + portfolios,AI assistant for crypto trading,1,1
use_case,C,0.919715,AI agent creation + launch,no-code AI agent creation + launch,4,1
use_case,C,0.919221,deploy + run AI agents,build + deploy AI agents,2,1
use_case,C,0.912791,AI agent creation + launch,"create, launch + interact with AI agents",4,1
use_case,C,0.910591,meme token,meme community token,17,2
use_case,C,0.909549,AI bot/tools for communities,bots/tools for communities,1,1
use_case,C,0.909389,create/deploy tokenized AI agents,deploy + trade tokenized AI agents,1,1
use_case,C,0.90259,memecoin / token,memecoin / community token,1,1
use_case,C,0.900709,"chat, agents, API, launching AI solutions",create/launch AI agents + chats,1,1
use_case,C,0.895934,build + deploy AI agents,build + deploy + monitor AI agents,1,1
use_case,C,0.893417,AI agent creation + deployment,build + deploy AI agents,2,1
use_case,C,0.892532,build/share/monetize AI agents,create + monetize AI agents,1,1
use_case,C,0.885511,deploy + run AI agents,AI agent creation + deployment,2,2
use_case,C,0.880766,decentralized data storage,decentralized storage + delivery of data/content,2,1
use_case,C,0.878029,AI agent creation + launch,launch + manage AI agents,4,1
use_case,C,0.87801,tokenized game economy,AI game + tokenized economy,1,1
use_case,C,0.866848,"create, launch + interact with AI agents",launch + manage AI agents,1,1
use_case,C,0.866536,"compute for AI, GPU marketplace",GPU compute + AI tools,1,1
use_case,C,0.866499,decentralized GPU marketplace (inference),decentralized cloud + GPU marketplace,1,1
use_case,C,0.865535,meme community token,AI community meme token,2,1
use_case,C,0.864622,trading algorithm automation,trading automation,1,1
use_case,C,0.859398,meme community token,memecoin / community token,2,1
use_case,C,0.856288,launch + tokenize AI agents,create/deploy tokenized AI agents,1,1
use_case,C,0.856055,blockchain data indexing + queries,blockchain indexing + query answering,1,1
use_case,C,0.854604,"create, launch + interact with AI agents",create/launch AI agents + chats,1,1
use_case,C,0.854243,access to AI services + integrations,AI services/APIs,1,1
use_case,C,0.854066,AI agent creation + launch,AI agent creation + use,4,2
use_case,C,0.853794,DeFi automation + agents,autonomous agents for DeFi,1,1
use_case,C,0.852764,"DeFi operations via ""agents""",DeFi automation + agents,1,1
use_case,C,0.850846,"create, launch + interact with AI agents",no-code AI agent creation + launch,1,1
use_case,C,0.850741,trading automation,market analysis + trading automation,1,1
use_case,C,0.850411,create/deploy tokenized AI agents,AI agent token,1,1
use_case,C,0.847852,meme community token,meme community token (Solana),2,1
use_case,C,0.846512,AI tools as a service,AI services/APIs,1,1
use_case,C,0.845361,deploy + run AI agents,build + deploy + monitor AI agents,2,1
use_case,C,0.844228,AI persona/content creation,AI content creation,1,1
use_case,C,0.843376,trading algorithm automation,trading operations automation,1,1
use_case,C,0.841401,market analytics + automation,market analysis + trading automation,1,1
use_case,C,0.837843,launch + tokenize AI agents,launch AI personas + agent tokens,1,1
use_case,C,0.836152,AI content creation (mobile app),AI content creation,1,1
use_case,C,0.835896,AI agent creation + launch,develop + launch autonomous agents,4,1
use_case,C,0.835742,community token about AI,AI assistant for token community,1,1
use_case,C,0.834671,"DeFi operations via ""agents""",autonomous agents for DeFi,1,1
use_case,C,0.834387,trading + DeFi automation,DeFi strategy automation + copy trading,1,1
use_case,C,0.834368,token on Solana,trading/holding a token on Solana,7,1
use_case,C,0.833649,community token about AI,AI community meme token,1,1
use_case,C,0.83156,launch + tokenize AI agents,launch tokenized AI agents for on-chain services,1,1
