label,cluster,freq_class
unknown,2,head
positioning only,3,mid
none,2,mid
AI agent platform (workflows/tools/KB),-1,mid
GPU/compute for AI/ML workloads,-1,mid
positioning only (plans/roadmap),3,mid
AI data labeling + model evaluation (human experts),2,mid
AI services,-1,mid
AI service/tools,-1,mid
platform for autonomous AI agents,-1,tail
distributed computing for AI/ML,-1,tail
AI workflow agents for automation,-1,tail
launchpad for AI agents,2,tail
compute marketplace for AI/ML workloads,-1,tail
semantic LLM + analytics for crypto intelligence,-1,tail
decentralized GPU cloud for AI/ML workloads,-1,tail
AI-driven health monitoring,2,tail
confidential computing for AI (TEE),-1,tail
AI agents for Web3,-1,tail
no-code tools for AI agents,-1,tail
AI elements,2,tail
trusted on-chain agents (identity/continuity/consensus),2,tail
agent swarm + NL prompt-to-DeFi,2,tail
context/reputation for AI agents (no proven ML core),2,tail
sovereign agent + digital twins + TEE,2,tail
GPU/edge infrastructure for AI workloads,-1,tail
decentralized inference + forecast-based synthesis,-1,tail
compute marketplace + AI agents + AI marketplace,-1,tail
AI agents + threshold AI oracles,2,tail
AI agents for image generation/evolution,2,tail
AI/ML signals + models for trading,-1,tail
autonomous AI agents + agent services,-1,tail
"API for LLMs, embeddings, image generation",2,tail
conversational AI for DeFi tasks + research,2,tail
AI interpretations/patterns for crypto markets,2,tail
marketplace + agentic framework (LLM widgets),-1,tail
LLM news analysis + summaries,2,tail
"AI/ML ""liquidity shield""",2,tail
autonomous AI artist / chat agent,1,tail
ML performance optimization for DePIN assets (PinAI),2,tail
AI scam check / AI-driven threat tools,2,tail
AI agents for Web3 workflows (agentic wallet),-1,tail
multi-agent orchestration (LLM + tools),-1,tail
AIGC content generation + prompt reuse,2,tail
LLM on-chain activity analysis → recommendations,-1,tail
AI interpretation of clusters/cases (summaries),2,tail
agent-based code generation/verification,2,tail
autonomous AI agent,-1,tail
ML anomaly analysis in detection bots,2,tail
running AI inference workloads on GPU,-1,tail
data collection/labeling/preprocessing for AI,2,tail
on-device ML for ad selection,2,tail
AI agents applicability,0,tail
EVA / AI agents,2,tail
3D mesh generation from text/images,2,tail
positioning only (AI-enhanced education),3,tail
CV detection + AI anonymization on edge,2,tail
multi-agent LLM (game generation + testing),2,tail
AgentData (real-time data streams for AI agents),2,tail
swarm/federated-style model training across hospitals,2,tail
AI optimization of coin selection/mining settings,2,tail
autonomous AI agents + agent VM + skills/knowledge,-1,tail
Measurable AI (analytics/insights on anonymized data),2,tail
LLM+RL NPC Engine (RAG + vector DB),2,tail
AI + knowledge graphs for Sybil score/PoH,2,tail
ML smart contract vulnerability analysis,-1,tail
AI oracle requests (test cases + providers),2,tail
AI data (lineage + metering + royalties),2,tail
DeFi agents + analysis/risk,2,tail
data labeling + dataset market,-1,tail
knowledge graph + embeddings profiling,2,tail
none (narrative only),2,tail
"AI agents (""AI Epals"")",2,tail
AI services as a revenue source,2,tail
GPU marketplace for AI/ML workloads,-1,tail
AI agents as future loop participants,2,tail
GPU rentals for AI workloads; AI API endpoints,-1,tail
AI view scoring + anti-fraud detection (PoV/VeraViews),2,tail
DKG + dRAG for verifiable AI,-1,tail
AI summary in ZkSearch; Zebra AI API,2,tail
voice-enabled AI agents,2,tail
training RL agents in gaming context,2,tail
on-chain AI agent (Grug Bay / Proof-of-Soul),2,tail
none (AI automation infrastructure/SDK),-1,tail
auto-labelling + RLHF/HITL + data sampling,2,tail
ML sentiment/TA/on-chain data analysis,-1,tail
provenance rail for AI agents/licensing (not an AI model),2,tail
"AI as an ""asset class"" (GPU/robots), not AI models",2,tail
AI agent creation + training (content/posting),-1,tail
agentic payments + identity/guardrails,2,tail
edge AI (sensor data summarization/insights),2,tail
cross-platform AI assistants/bots,-1,tail
none (data streaming infrastructure),2,tail
multi-agent collectives + quality evaluation,-1,tail
"positioning only (""AI dog/companion"")",3,tail
AI agents/bots for trading,-1,tail
none (Grok meme reference),2,tail
AI model/assistant marketplace/platform,-1,tail
AI contract audit / AI tools,-1,tail
ML/AI analytics for agriculture,2,tail
AI co-pilot for DeFi + on-chain actions,-1,tail
AI assistants + AI tools in-app,-1,tail
LLM/agents + inference nodes,-1,tail
AI tool marketplace / model access,-1,tail
image/video generation + compute network,-1,tail
AI agents for crypto/finance,2,tail
AI component not detected,2,tail
video transcoding + Livepeer AI pipelines,2,tail
AI-narratives/AI-entertainment,2,tail
HITL data quality layer (not an AI model),2,tail
model inference + validation marketplace,-1,tail
Neurobots (AI features in client),2,tail
multi-agent LLM security analyzer,-1,tail
generative art engine + DAO feedback,2,tail
AI coach / workout personalization (feature),2,tail
"VoltiEco (""AI-powered"" airdrop automation)",2,tail
AI-powered aggregator/launcher,2,tail
agents engine for market/security insights,-1,tail
distributed training + inference platform,-1,tail
AI legal assistant / contract drafting + analysis,-1,tail
GPU compute for AI training,-1,tail
"""AI agent in TEE""",2,tail
crypto AI manager / AI agents (trading/portfolio/signals),2,tail
"AI/ML for NFT forensics (wash trade, forgery, valuation)",2,tail
LLM/AI agents for crypto research,-1,tail
"LoRA meme generator + LLM ""tentacles"" (off-chain)",2,tail
none (NFT/gaming L1),2,tail
CV/ML road event detection from video,2,tail
AI assistant for graph building (OpenAI-based),2,tail
deterministic on-chain ML inference (Synapse/CVM),2,tail
"""AI data era"" / edge clusters / AI agents",2,tail
"meta-agentic orchestration, demos",-1,tail
crypto-aware AI agents + knowledge engine (Fractal) + API,2,tail
AI agent (content + analytics) + meme maker + chatbot,2,tail
AI-powered experiences,2,tail
private uncensored inference API (text/image/code),2,tail
institutional-grade crypto analytics,2,tail
"AI content hub, chatbots, copyright tools",2,tail
personal AI personas,-1,tail
voice + ambient audio datasets for AI,2,tail
real-time data for AI agents,-1,tail
"voice-to-action, AI vision, AI programming assistant",2,tail
"AI-powered security scanning, AI dev sandbox",2,tail
FHE-EVM for private AI computation,2,tail
AI interviewer + knowledge Q&A replicas,2,tail
data/compute for AI/ML models,-1,tail
AI tagging + whale/signal analytics,2,tail
GPU compute + AI agents / inference,-1,tail
spatial AI (HD maps + 3D/4D datasets),2,tail
"AI layers/products for ""invisible assets""",2,tail
autonomous game-streaming AI Agent,1,tail
no-code DeFi AI agents (builder/playground),2,tail
LLM agents for scientific paper review,2,tail
serverless runtime for AI agents,2,tail
modular AI agents + multi-agent architecture,2,tail
LLM copilot for on-chain agent code,2,tail
"""AI powered"" SaaS products (marketing/content/research)",-1,tail
AI-driven strategies + risk engine,-1,tail
PreGPT / AI search results,2,tail
AI-driven data incentive layer,2,tail
AI tools/AutoML on top of L1 network,2,tail
AI agents for people-data analysis,2,tail
"voice cloning, gen media, enterprise APIs",2,tail
"GPU rentals, decentralized AI infrastructure",-1,tail
decentralized AI compute + marketplace,-1,tail
"FHE inference, confidential computing",-1,tail
"AI influencer agents, Proof-of-Utility",2,tail
"trading signals, DRL risk management",2,tail
"natural language interface, agent workflows",2,tail
"robotics foundation models, data foundry",2,tail
"CV parsing, ML matching, recommendations",2,tail
"AI-driven DeFi, AiFi tokenisation",2,tail
"prompt/agent audit, security browser",2,tail
AI agents for on-chain DeFi,-1,tail
music generation (AI engine),2,tail
AI-powered game engine (fine-tuned models),-1,tail
AI-driven traffic routing + load balancing,2,tail
imgnAI protocol,-1,tail
voice NLP assistant + DtecGPT,2,tail
AI analytics + investor assistant,2,tail
Proof-of-Compute network for AI agents,-1,tail
offline on-device LLM chat,2,tail
multi-agent security intelligence,-1,tail
AI-focused compute infrastructure,-1,tail
AI NFT creator (image generation),2,tail
positioning only (AI tools/community),-1,tail
"""agentic"" product",2,tail
crypto MCP server + 200+ tools,2,tail
AI agents + fine-tuning,2,tail
Matrix (privacy-first AI) + Reactor assistant,2,tail
Web3-oriented LLM APIs,2,tail
Telegram bot S.A.R.A.H.,2,tail
Explore search on OpenAI CLIP,2,tail
edge-native AI companion + plugins,2,tail
confidential compute for verifiable AI (infra),-1,tail
AI Studio / GPU Console (compute),2,tail
HOME Scout AI (real estate search),2,tail
AI agents/NPC + emotional engine,2,tail
multimodal generative AI assistant,-1,tail
dataset collection + labeling for AI,-1,tail
"""AI-launchpad""",2,tail
AI matching + real-time translation (app),-1,tail
AI assistant for cross-chain intents,-1,tail
on-chain AI oracle + fraud-proof verification,-1,tail
positioning only (meme/narrative),3,tail
decentralized GPU cloud + data agent,-1,tail
