pair_id,field,value_a,value_b,stratum,ann1,ann2,adjudicated,is_synonym
P001,use_case,decentralized AI inference,decentralized AI inference/agents,cross_family_stable,near_synonym,exact_synonym,near_synonym,1
P002,ai_component,AI assistant for graph building (OpenAI-based),"meta-agentic orchestration, demos",negative_control,unrelated,unrelated,unrelated,0
P003,use_case,no-code AI agent creation + launch,no-code AI agents,within_family_only,near_synonym,near_synonym,near_synonym,1
P004,ai_component,AI features/AI products in ecosystem,positioning only (AI apps infrastructure),negative_control,related_but_distinct,related_but_distinct,related_but_distinct,0
P005,use_case,smart contracts with verifiable AI inference,trustless AI-API results for smart contracts,negative_control,related_but_distinct,related_but_distinct,related_but_distinct,0
P006,use_case,DeFi operations via integrations + aggregation,on-chain games/tournaments/NFT activities on Base,negative_control,unrelated,unrelated,unrelated,0
P007,ai_component,AI agent launch platform,AI data (lineage + metering + royalties),negative_control,unrelated,unrelated,unrelated,0
P008,ai_component,AI agents for sports forecasts/reports,ML models for sports forecasting,single_operationalization,near_synonym,near_synonym,near_synonym,1
P009,ai_component,AI agent marketplace + AI services,AI agents marketplace,single_operationalization,near_synonym,near_synonym,near_synonym,1
P010,ai_component,AI agents for Web3,LLM agents for Web3 tasks,single_operationalization,near_synonym,exact_synonym,near_synonym,1
P011,use_case,AI insights/signals for trading + research,airdrops + lottery + NFT collectibles,negative_control,unrelated,unrelated,unrelated,0
P012,ai_component,autonomous AI agent,platform for autonomous AI agents,single_operationalization,related_but_distinct,near_synonym,related_but_distinct,0
P013,use_case,DeFi strategy automation,DeFi strategy automation + copy trading,within_family_only,near_synonym,near_synonym,near_synonym,1
P014,use_case,trading automation,trading operations automation,single_operationalization,exact_synonym,near_synonym,near_synonym,1
P015,ai_component,"positioning only (""AI agents"")","positioning only (""AI"" analytics)",single_operationalization,near_synonym,related_but_distinct,near_synonym,1
P016,use_case,"analysis/chat, trading tools",video/image generation + video agents,negative_control,unrelated,unrelated,unrelated,0
P017,use_case,autonomous agents for DeFi,programmable compliance for on-chain execution,negative_control,related_but_distinct,unrelated,related_but_distinct,0
P018,ai_component,ML/AI strategies + portfolio scoring,multi-agent LLM (game generation + testing),negative_control,unrelated,unrelated,unrelated,0
P019,ai_component,"AI agents (""AI Epals"")",AI services,negative_control,related_but_distinct,related_but_distinct,related_but_distinct,0
P020,ai_component,GPU marketplace for AI/ML workloads,compute marketplace for AI/ML workloads,within_family_only,near_synonym,exact_synonym,near_synonym,1
P021,use_case,AI agent creation + deployment,deploy + run AI agents,single_operationalization,near_synonym,near_synonym,near_synonym,1
P022,ai_component,AI agent marketplace + AI services,AI services,single_operationalization,near_synonym,near_synonym,near_synonym,1
P023,ai_component,AI agents for Web3,AI agents for Web3 workflows,cross_family_stable,near_synonym,near_synonym,near_synonym,1
P024,ai_component,autonomous AI agent,autonomous AI agents + agent services,single_operationalization,near_synonym,near_synonym,near_synonym,1
P025,ai_component,AI agent + model marketplace,AI agents marketplace,single_operationalization,near_synonym,near_synonym,near_synonym,1
P026,ai_component,AI agents applicability,AI applicability for AI agents/dApps,single_operationalization,exact_synonym,near_synonym,near_synonym,1
P027,use_case,memecoin,memecoin / token,single_operationalization,exact_synonym,near_synonym,near_synonym,1
P028,use_case,meme community token,meme token,single_operationalization,near_synonym,near_synonym,near_synonym,1
P029,ai_component,AI agents/bots for trading,AI/ML signals + models for trading,negative_control,near_synonym,near_synonym,near_synonym,1
P030,ai_component,GPU rentals + AI/ML tools,GPU rentals for AI workloads,single_operationalization,near_synonym,near_synonym,near_synonym,1
P031,use_case,lead exchange in a network/platform,meme token,negative_control,unrelated,unrelated,unrelated,0
P032,ai_component,"positioning only (""AI agents"")",positioning only (AI toolkit),single_operationalization,near_synonym,near_synonym,near_synonym,1
P033,use_case,SPL token,SPL token on Solana,single_operationalization,exact_synonym,near_synonym,near_synonym,1
P034,ai_component,BCI neurofeedback + AI,voice AI agents for phone calls,negative_control,unrelated,unrelated,unrelated,0
P035,use_case,market analysis + trading automation,trading automation,within_family_only,near_synonym,near_synonym,near_synonym,1
P036,use_case,AI community meme token,meme community token,single_operationalization,exact_synonym,near_synonym,near_synonym,1
P037,ai_component,voice-enabled AI agents,voice-enabled AI agents + voice models,cross_family_stable,near_synonym,near_synonym,near_synonym,1
P038,ai_component,cloud infrastructure for AI workloads,compute infrastructure for AI workloads,cross_family_stable,near_synonym,near_synonym,near_synonym,1
P039,ai_component,decentralized AI agent network + cell services,decentralized GPU cloud + data agent,negative_control,related_but_distinct,unrelated,related_but_distinct,0
P040,use_case,inference marketplace,yield farming automation via vault strategies,negative_control,unrelated,unrelated,unrelated,0
